yourlist:M20191118DA437993067D6F64326E5E763500BDED055040M	isomap:M20191118DA437993067D6F64326E5E763500BDED055040M	Entry	Entry name	Protein names	Gene ontology IDs	Gene ontology (GO)	Gene names
NM_130398	NM_130398 -> Q9UQ84-1	Q9UQ84	EXO1_HUMAN	Exonuclease 1 (hExo1) (EC 3.1.-.-) (Exonuclease I) (hExoI)	GO:0002455; GO:0003677; GO:0003682; GO:0004523; GO:0004527; GO:0005634; GO:0005654; GO:0005886; GO:0006260; GO:0006281; GO:0006298; GO:0006310; GO:0008409; GO:0016446; GO:0016604; GO:0017108; GO:0035312; GO:0045145; GO:0045190; GO:0046872; GO:0048256; GO:0051321; GO:0051908; GO:0090656; GO:1901796	nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; 5'-3' exodeoxyribonuclease activity [GO:0035312]; 5'-3' exonuclease activity [GO:0008409]; 5'-flap endonuclease activity [GO:0017108]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; double-stranded DNA 5'-3' exodeoxyribonuclease activity [GO:0051908]; exonuclease activity [GO:0004527]; flap endonuclease activity [GO:0048256]; metal ion binding [GO:0046872]; RNA-DNA hybrid ribonuclease activity [GO:0004523]; single-stranded DNA 5'-3' exodeoxyribonuclease activity [GO:0045145]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; humoral immune response mediated by circulating immunoglobulin [GO:0002455]; isotype switching [GO:0045190]; meiotic cell cycle [GO:0051321]; mismatch repair [GO:0006298]; regulation of signal transduction by p53 class mediator [GO:1901796]; somatic hypermutation of immunoglobulin genes [GO:0016446]; t-circle formation [GO:0090656]	EXO1 EXOI HEX1
NM_017760	NM_017760 -> Q86XI2-1	Q86XI2	CNDG2_HUMAN	Condensin-2 complex subunit G2 (Chromosome-associated protein G2) (CAP-G2) (hCAP-G2) (Leucine zipper protein 5) (Non-SMC condensin II complex subunit G2)	GO:0000796; GO:0001833; GO:0005654; GO:0006366; GO:0007049; GO:0016020; GO:0016607; GO:0030218; GO:0030261; GO:0035064; GO:0043425; GO:0045647; GO:0051301; GO:0061098; GO:0098772; GO:2000273	condensin complex [GO:0000796]; membrane [GO:0016020]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; bHLH transcription factor binding [GO:0043425]; methylated histone binding [GO:0035064]; molecular function regulator [GO:0098772]; cell cycle [GO:0007049]; cell division [GO:0051301]; chromosome condensation [GO:0030261]; erythrocyte differentiation [GO:0030218]; inner cell mass cell proliferation [GO:0001833]; negative regulation of erythrocyte differentiation [GO:0045647]; positive regulation of protein tyrosine kinase activity [GO:0061098]; positive regulation of signaling receptor activity [GO:2000273]; transcription by RNA polymerase II [GO:0006366]	NCAPG2 LUZP5
NM_152259	NM_152259 -> Q7Z2Z1-1	Q7Z2Z1	TICRR_HUMAN	Treslin (TopBP1-interacting checkpoint and replication regulator) (TopBP1-interacting, replication-stimulating protein)	GO:0003682; GO:0005634; GO:0005654; GO:0006260; GO:0006281; GO:0007093; GO:0010212; GO:0030174; GO:0033314	nucleoplasm [GO:0005654]; nucleus [GO:0005634]; chromatin binding [GO:0003682]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; mitotic cell cycle checkpoint [GO:0007093]; mitotic DNA replication checkpoint [GO:0033314]; regulation of DNA-dependent DNA replication initiation [GO:0030174]; response to ionizing radiation [GO:0010212]	TICRR C15orf42
NM_024629	NM_024629 -> Q71F23-1	Q71F23	CENPU_HUMAN	Centromere protein U (CENP-U) (Centromere protein of 50 kDa) (CENP-50) (Interphase centromere complex protein 24) (KSHV latent nuclear antigen-interacting protein 1) (MLF1-interacting protein) (Polo-box-interacting protein 1)	GO:0000777; GO:0005634; GO:0005654; GO:0005815; GO:0005829; GO:0016032; GO:0034080; GO:0034451; GO:0043009	centriolar satellite [GO:0034451]; condensed chromosome kinetochore [GO:0000777]; cytosol [GO:0005829]; microtubule organizing center [GO:0005815]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; CENP-A containing nucleosome assembly [GO:0034080]; chordate embryonic development [GO:0043009]; viral process [GO:0016032]	CENPU ICEN24 KLIP1 MLF1IP PBIP1
NM_018136		B3KWI2	B3KWI2_HUMAN	cDNA FLJ43117 fis, clone CTONG3002674, highly similar to Abnormal spindle-like microcephaly-associated protein (Fragment)			
NM_018136	NM_018136 -> Q8IZT6-1	Q8IZT6	ASPM_HUMAN	Abnormal spindle-like microcephaly-associated protein (Abnormal spindle protein homolog) (Asp homolog)	GO:0001764; GO:0002052; GO:0005516; GO:0005634; GO:0005737; GO:0005813; GO:0007051; GO:0007283; GO:0008584; GO:0016324; GO:0021873; GO:0021987; GO:0030496; GO:0036449; GO:0045665; GO:0045769; GO:0048477; GO:0048589; GO:0051445; GO:0051653; GO:0051661; GO:0072687; GO:0090263; GO:0090306; GO:0097150; GO:0097431	apical plasma membrane [GO:0016324]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; meiotic spindle [GO:0072687]; microtubule minus-end [GO:0036449]; midbody [GO:0030496]; mitotic spindle pole [GO:0097431]; nucleus [GO:0005634]; calmodulin binding [GO:0005516]; cerebral cortex development [GO:0021987]; developmental growth [GO:0048589]; forebrain neuroblast division [GO:0021873]; maintenance of centrosome location [GO:0051661]; male gonad development [GO:0008584]; negative regulation of asymmetric cell division [GO:0045769]; negative regulation of neuron differentiation [GO:0045665]; neuron migration [GO:0001764]; neuronal stem cell population maintenance [GO:0097150]; oogenesis [GO:0048477]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of neuroblast proliferation [GO:0002052]; regulation of meiotic cell cycle [GO:0051445]; spermatogenesis [GO:0007283]; spindle assembly involved in meiosis [GO:0090306]; spindle localization [GO:0051653]; spindle organization [GO:0007051]	ASPM MCPH5
NM_018304		D2SNZ4	D2SNZ4_HUMAN	Proline rich 11, isoform CRA_a (Transcription repressor of MHCII)			PRR11 hCG_1775215
NM_018304		Q96HE9	PRR11_HUMAN	Proline-rich protein 11	GO:0005634; GO:0005737; GO:0007050; GO:0016020; GO:0051726	cytoplasm [GO:0005737]; membrane [GO:0016020]; nucleus [GO:0005634]; cell cycle arrest [GO:0007050]; regulation of cell cycle [GO:0051726]	PRR11
NM_005308		P34947	GRK5_HUMAN	G protein-coupled receptor kinase 5 (EC 2.7.11.16) (G protein-coupled receptor kinase GRK5)	GO:0004674; GO:0004703; GO:0005080; GO:0005524; GO:0005543; GO:0005737; GO:0005829; GO:0005886; GO:0006915; GO:0007186; GO:0007188; GO:0007217; GO:0008277; GO:0008284; GO:0016055; GO:0016607; GO:0031965; GO:0043066; GO:0045444; GO:0046777; GO:0047696; GO:0051726	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nuclear membrane [GO:0031965]; nuclear speck [GO:0016607]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; beta-adrenergic receptor kinase activity [GO:0047696]; G protein-coupled receptor kinase activity [GO:0004703]; phospholipid binding [GO:0005543]; protein kinase C binding [GO:0005080]; protein serine/threonine kinase activity [GO:0004674]; adenylate cyclase-modulating G protein-coupled receptor signaling pathway [GO:0007188]; apoptotic process [GO:0006915]; fat cell differentiation [GO:0045444]; G protein-coupled receptor signaling pathway [GO:0007186]; negative regulation of apoptotic process [GO:0043066]; positive regulation of cell population proliferation [GO:0008284]; protein autophosphorylation [GO:0046777]; regulation of cell cycle [GO:0051726]; regulation of G protein-coupled receptor signaling pathway [GO:0008277]; tachykinin receptor signaling pathway [GO:0007217]; Wnt signaling pathway [GO:0016055]	GRK5 GPRK5
NM_007280		A0A024R9N0	A0A024R9N0_HUMAN	Opa interacting protein 5, isoform CRA_a	GO:0010369; GO:0016607; GO:0043231; GO:0046872	chromocenter [GO:0010369]; intracellular membrane-bounded organelle [GO:0043231]; nuclear speck [GO:0016607]; metal ion binding [GO:0046872]	OIP5 hCG_1642334
NM_007280		O43482	MS18B_HUMAN	Protein Mis18-beta (Cancer/testis antigen 86) (CT86) (Opa-interacting protein 5) (OIP-5)	GO:0000775; GO:0000785; GO:0005634; GO:0005654; GO:0007049; GO:0007059; GO:0007154; GO:0010369; GO:0015030; GO:0016607; GO:0034080; GO:0042802; GO:0043231; GO:0046872; GO:0051301	Cajal body [GO:0015030]; chromatin [GO:0000785]; chromocenter [GO:0010369]; chromosome, centromeric region [GO:0000775]; intracellular membrane-bounded organelle [GO:0043231]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; cell communication [GO:0007154]; cell cycle [GO:0007049]; cell division [GO:0051301]; CENP-A containing nucleosome assembly [GO:0034080]; chromosome segregation [GO:0007059]	OIP5 MIS18B
NM_001145316		A8K3X3	A8K3X3_HUMAN	cDNA FLJ77685	GO:0000444; GO:0007059; GO:0051301	MIS12/MIND type complex [GO:0000444]; cell division [GO:0051301]; chromosome segregation [GO:0007059]	
NM_001145316	NM_001145316 -> Q9H410-1	Q9H410	DSN1_HUMAN	Kinetochore-associated protein DSN1 homolog	GO:0000070; GO:0000444; GO:0000777; GO:0000818; GO:0000922; GO:0000941; GO:0001650; GO:0005576; GO:0005654; GO:0005730; GO:0005829; GO:0016604; GO:0035578; GO:0043312; GO:0051301	azurophil granule lumen [GO:0035578]; condensed chromosome kinetochore [GO:0000777]; condensed nuclear chromosome inner kinetochore [GO:0000941]; cytosol [GO:0005829]; extracellular region [GO:0005576]; fibrillar center [GO:0001650]; MIS12/MIND type complex [GO:0000444]; nuclear body [GO:0016604]; nuclear MIS12/MIND complex [GO:0000818]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; spindle pole [GO:0000922]; cell division [GO:0051301]; mitotic sister chromatid segregation [GO:0000070]; neutrophil degranulation [GO:0043312]	DSN1 C20orf172 MIS13
NM_018353	NM_018353 -> Q6P0N0-1	Q6P0N0	M18BP_HUMAN	Mis18-binding protein 1 (Kinetochore-associated protein KNL-2 homolog) (HsKNL-2) (P243)	GO:0000778; GO:0000981; GO:0003677; GO:0005654; GO:0007049; GO:0034080; GO:0051301	condensed nuclear chromosome kinetochore [GO:0000778]; nucleoplasm [GO:0005654]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; cell cycle [GO:0007049]; cell division [GO:0051301]; CENP-A containing nucleosome assembly [GO:0034080]	MIS18BP1 C14orf106 KIAA1903 KNL2 M18BP1
NM_199420	NM_199420 -> O75417-1	O75417	DPOLQ_HUMAN	DNA polymerase theta (EC 2.7.7.7) (DNA polymerase eta)	GO:0000724; GO:0003682; GO:0003684; GO:0003887; GO:0005524; GO:0005634; GO:0005654; GO:0005694; GO:0005737; GO:0006261; GO:0006281; GO:0006284; GO:0006302; GO:0006974; GO:0016446; GO:0017116; GO:0042802; GO:0051260; GO:0051575; GO:0097681; GO:2000042	chromosome [GO:0005694]; cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; 5'-deoxyribose-5-phosphate lyase activity [GO:0051575]; ATP binding [GO:0005524]; chromatin binding [GO:0003682]; damaged DNA binding [GO:0003684]; DNA-directed DNA polymerase activity [GO:0003887]; identical protein binding [GO:0042802]; single-stranded DNA helicase activity [GO:0017116]; base-excision repair [GO:0006284]; cellular response to DNA damage stimulus [GO:0006974]; DNA repair [GO:0006281]; DNA-dependent DNA replication [GO:0006261]; double-strand break repair [GO:0006302]; double-strand break repair via alternative nonhomologous end joining [GO:0097681]; double-strand break repair via homologous recombination [GO:0000724]; negative regulation of double-strand break repair via homologous recombination [GO:2000042]; protein homooligomerization [GO:0051260]; somatic hypermutation of immunoglobulin genes [GO:0016446]	POLQ POLH
NM_199420		Q59EE4	Q59EE4_HUMAN	DNA polymerase theta variant (Fragment)	GO:0003677; GO:0003887; GO:0006261	DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; DNA-dependent DNA replication [GO:0006261]	
NM_021067		Q14691	PSF1_HUMAN	DNA replication complex GINS protein PSF1 (GINS complex subunit 1)	GO:0000811; GO:0001833; GO:0005634; GO:0005654; GO:0005737; GO:0006271; GO:0043138; GO:1902983	cytoplasm [GO:0005737]; GINS complex [GO:0000811]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; 3'-5' DNA helicase activity [GO:0043138]; DNA strand elongation involved in DNA replication [GO:0006271]; DNA strand elongation involved in mitotic DNA replication [GO:1902983]; inner cell mass cell proliferation [GO:0001833]	GINS1 KIAA0186 PSF1
NM_020242	NM_020242 -> Q9NS87-1	Q9NS87	KIF15_HUMAN	Kinesin-like protein KIF15 (Kinesin-like protein 2) (hKLP2) (Kinesin-like protein 7) (Serologically defined breast cancer antigen NY-BR-62)	GO:0000278; GO:0003774; GO:0003777; GO:0005524; GO:0005813; GO:0005819; GO:0005829; GO:0005871; GO:0005873; GO:0005874; GO:0006890; GO:0007018; GO:0008017; GO:0016020; GO:0016887; GO:0019886	centrosome [GO:0005813]; cytosol [GO:0005829]; kinesin complex [GO:0005871]; membrane [GO:0016020]; microtubule [GO:0005874]; plus-end kinesin complex [GO:0005873]; spindle [GO:0005819]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; motor activity [GO:0003774]; antigen processing and presentation of exogenous peptide antigen via MHC class II [GO:0019886]; microtubule-based movement [GO:0007018]; mitotic cell cycle [GO:0000278]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]	KIF15 KLP2 KNSL7
NM_003504	NM_003504 -> O75419-1	O75419	CDC45_HUMAN	Cell division control protein 45 homolog (PORC-PI-1)	GO:0000076; GO:0000082; GO:0000083; GO:0000727; GO:0003682; GO:0003688; GO:0003697; GO:0005634; GO:0005654; GO:0005656; GO:0005737; GO:0005813; GO:0006260; GO:0006270; GO:0031261; GO:0031298; GO:0031938; GO:0043138; GO:1900087; GO:1902977	centrosome [GO:0005813]; cytoplasm [GO:0005737]; DNA replication preinitiation complex [GO:0031261]; nuclear pre-replicative complex [GO:0005656]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; replication fork protection complex [GO:0031298]; 3'-5' DNA helicase activity [GO:0043138]; chromatin binding [GO:0003682]; DNA replication origin binding [GO:0003688]; single-stranded DNA binding [GO:0003697]; DNA replication [GO:0006260]; DNA replication checkpoint [GO:0000076]; DNA replication initiation [GO:0006270]; double-strand break repair via break-induced replication [GO:0000727]; G1/S transition of mitotic cell cycle [GO:0000082]; mitotic DNA replication preinitiation complex assembly [GO:1902977]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; regulation of chromatin silencing at telomere [GO:0031938]; regulation of transcription involved in G1/S transition of mitotic cell cycle [GO:0000083]	CDC45 CDC45L CDC45L2 UNQ374/PRO710
NM_000057		P54132	BLM_HUMAN	Bloom syndrome protein (EC 3.6.4.12) (DNA helicase, RecQ-like type 2) (RecQ2) (RecQ protein-like 3)	GO:0000079; GO:0000228; GO:0000400; GO:0000403; GO:0000405; GO:0000723; GO:0000724; GO:0000729; GO:0000800; GO:0002039; GO:0003677; GO:0003678; GO:0003697; GO:0004386; GO:0005524; GO:0005634; GO:0005654; GO:0005657; GO:0005694; GO:0005730; GO:0005737; GO:0005829; GO:0006260; GO:0006268; GO:0006281; GO:0006310; GO:0006974; GO:0007095; GO:0008094; GO:0008270; GO:0009378; GO:0010165; GO:0016363; GO:0016605; GO:0016887; GO:0031297; GO:0032508; GO:0036310; GO:0042803; GO:0043138; GO:0044806; GO:0045893; GO:0045910; GO:0048478; GO:0051259; GO:0051260; GO:0051782; GO:0051880; GO:0061749; GO:0061820; GO:0061821; GO:0061849; GO:0071479; GO:0072711; GO:0072757; GO:0090329; GO:0090656; GO:1901796; GO:1905773	chromosome [GO:0005694]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; lateral element [GO:0000800]; nuclear chromosome [GO:0000228]; nuclear matrix [GO:0016363]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; PML body [GO:0016605]; replication fork [GO:0005657]; 3'-5' DNA helicase activity [GO:0043138]; 8-hydroxy-2'-deoxyguanosine DNA binding [GO:1905773]; annealing helicase activity [GO:0036310]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; bubble DNA binding [GO:0000405]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; DNA-dependent ATPase activity [GO:0008094]; forked DNA-dependent helicase activity [GO:0061749]; four-way junction DNA binding [GO:0000400]; four-way junction helicase activity [GO:0009378]; G-quadruplex DNA binding [GO:0051880]; helicase activity [GO:0004386]; p53 binding [GO:0002039]; protein homodimerization activity [GO:0042803]; single-stranded DNA binding [GO:0003697]; telomeric D-loop binding [GO:0061821]; telomeric G-quadruplex DNA binding [GO:0061849]; Y-form DNA binding [GO:0000403]; zinc ion binding [GO:0008270]; cellular response to camptothecin [GO:0072757]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to hydroxyurea [GO:0072711]; cellular response to ionizing radiation [GO:0071479]; DNA double-strand break processing [GO:0000729]; DNA duplex unwinding [GO:0032508]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; DNA unwinding involved in DNA replication [GO:0006268]; double-strand break repair via homologous recombination [GO:0000724]; G-quadruplex DNA unwinding [GO:0044806]; mitotic G2 DNA damage checkpoint [GO:0007095]; negative regulation of cell division [GO:0051782]; negative regulation of DNA recombination [GO:0045910]; positive regulation of transcription, DNA-templated [GO:0045893]; protein complex oligomerization [GO:0051259]; protein homooligomerization [GO:0051260]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]; regulation of DNA-dependent DNA replication [GO:0090329]; regulation of signal transduction by p53 class mediator [GO:1901796]; replication fork processing [GO:0031297]; replication fork protection [GO:0048478]; response to X-ray [GO:0010165]; t-circle formation [GO:0090656]; telomere maintenance [GO:0000723]; telomeric D-loop disassembly [GO:0061820]	BLM RECQ2 RECQL3
NM_001039841		Q3KRB8	RHGBB_HUMAN	Rho GTPase-activating protein 11B (Protein FAM7B1) (Rho-type GTPase-activating protein 11B)	GO:0005829; GO:0007165; GO:0021987; GO:0043547; GO:0051056	cytosol [GO:0005829]; cerebral cortex development [GO:0021987]; positive regulation of GTPase activity [GO:0043547]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]	ARHGAP11B FAM7B1
NM_018101		Q53HL2	BOREA_HUMAN	Borealin (Cell division cycle-associated protein 8) (Dasra-B) (hDasra-B) (Pluripotent embryonic stem cell-related gene 3 protein)	GO:0000070; GO:0000775; GO:0005623; GO:0005654; GO:0005730; GO:0005829; GO:0007080; GO:0010369; GO:0030496; GO:0032133; GO:0032991; GO:0045171; GO:0051233; GO:0051276; GO:0051301	cell [GO:0005623]; chromocenter [GO:0010369]; chromosome passenger complex [GO:0032133]; chromosome, centromeric region [GO:0000775]; cytosol [GO:0005829]; intercellular bridge [GO:0045171]; midbody [GO:0030496]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; protein-containing complex [GO:0032991]; spindle midzone [GO:0051233]; cell division [GO:0051301]; chromosome organization [GO:0051276]; mitotic metaphase plate congression [GO:0007080]; mitotic sister chromatid segregation [GO:0000070]	CDCA8 PESCRG3
