Entry	Entry name	Protein names	Gene ontology IDs	Gene ontology (GO)	Gene names
A0A1S3M2L9	A0A1S3M2L9_SALSA	endophilin-B2 isoform X9	GO:0005737	cytoplasm [GO:0005737]	sh3glb2
A0A1S3M2M5	A0A1S3M2M5_SALSA	endophilin-B2 isoform X6	GO:0005737	cytoplasm [GO:0005737]	sh3glb2
A0A1S3M2P0	A0A1S3M2P0_SALSA	endophilin-B2 isoform X8	GO:0005737	cytoplasm [GO:0005737]	sh3glb2
A0A1S3M2R4	A0A1S3M2R4_SALSA	endophilin-B2 isoform X11	GO:0005737	cytoplasm [GO:0005737]	sh3glb2
A0A1S3M2S4	A0A1S3M2S4_SALSA	endophilin-B2 isoform X12	GO:0005737	cytoplasm [GO:0005737]	sh3glb2
A0A1S3M321	A0A1S3M321_SALSA	endophilin-B2 isoform X10	GO:0005737	cytoplasm [GO:0005737]	sh3glb2
A0A1S3M3H9	A0A1S3M3H9_SALSA	endophilin-B2 isoform X7	GO:0005737	cytoplasm [GO:0005737]	sh3glb2
A0A1S3M522	A0A1S3M522_SALSA	stromelysin-3-like	GO:0004222; GO:0007275; GO:0008270; GO:0031012	extracellular matrix [GO:0031012]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; multicellular organism development [GO:0007275]	LOC106570480
A0A1S3M8P5	A0A1S3M8P5_SALSA	SUN domain-containing protein 1-like isoform X2	GO:0005639; GO:0034993	integral component of nuclear inner membrane [GO:0005639]; meiotic nuclear membrane microtubule tethering complex [GO:0034993]	LOC106571259
A0A1S3M9A6	A0A1S3M9A6_SALSA	SUN domain-containing protein 1-like isoform X1	GO:0005639; GO:0034993	integral component of nuclear inner membrane [GO:0005639]; meiotic nuclear membrane microtubule tethering complex [GO:0034993]	LOC106571259
A0A1S3M9C0	A0A1S3M9C0_SALSA	Elongation of very long chain fatty acids protein 7 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL7) (ELOVL fatty acid elongase 7) (ELOVL FA elongase 7) (Very long chain 3-ketoacyl-CoA synthase 7) (Very long chain 3-oxoacyl-CoA synthase 7)	GO:0005789; GO:0006636; GO:0009922; GO:0016021; GO:0019367; GO:0034625; GO:0034626; GO:0035338; GO:0042761; GO:0102336; GO:0102337; GO:0102338; GO:0102756	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; 3-oxo-arachidoyl-CoA synthase activity [GO:0102336]; 3-oxo-cerotoyl-CoA synthase activity [GO:0102337]; 3-oxo-lignoceronyl-CoA synthase activity [GO:0102338]; fatty acid elongase activity [GO:0009922]; very-long-chain 3-ketoacyl-CoA synthase activity [GO:0102756]; fatty acid elongation, monounsaturated fatty acid [GO:0034625]; fatty acid elongation, polyunsaturated fatty acid [GO:0034626]; fatty acid elongation, saturated fatty acid [GO:0019367]; long-chain fatty-acyl-CoA biosynthetic process [GO:0035338]; unsaturated fatty acid biosynthetic process [GO:0006636]; very long-chain fatty acid biosynthetic process [GO:0042761]	LOC106571348 ELOVL7
A0A1S3M723	A0A1S3M723_SALSA	probable ATP-dependent RNA helicase DDX4 isoform X1	GO:0003676; GO:0004386; GO:0005524	ATP binding [GO:0005524]; helicase activity [GO:0004386]; nucleic acid binding [GO:0003676]	ddx4
M1F1H3	M1F1H3_SALSA	Vasa	GO:0003676; GO:0004386; GO:0005524	ATP binding [GO:0005524]; helicase activity [GO:0004386]; nucleic acid binding [GO:0003676]	LOC101448052
A0A1S3ME87	A0A1S3ME87_SALSA	Phospholipid-transporting ATPase (EC 7.6.2.1)	GO:0000287; GO:0005524; GO:0015914; GO:0016021; GO:0140326	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ATPase-coupled intramembrane lipid transporter activity [GO:0140326]; magnesium ion binding [GO:0000287]; phospholipid transport [GO:0015914]	LOC106572087
A0A1S3MG45	A0A1S3MG45_SALSA	Serine/threonine-protein phosphatase (EC 3.1.3.16)	GO:0004721	phosphoprotein phosphatase activity [GO:0004721]	LOC106572476
A0A1S3MH20	A0A1S3MH20_SALSA	low-density lipoprotein receptor-related protein 1B-like	GO:0005509; GO:0016021	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	LOC106572640
A0A1S3MGY5	A0A1S3MGY5_SALSA	low-density lipoprotein receptor-related protein 5-like			LOC106572623
A0A1S3MIA9	A0A1S3MIA9_SALSA	transcription factor AP-1-like	GO:0003677; GO:0003700; GO:0005634	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	LOC106572830
A0A1S3T3E6	A0A1S3T3E6_SALSA	Uricase (EC 1.7.3.3) (Urate oxidase)	GO:0004846; GO:0005777; GO:0006144; GO:0019628	peroxisome [GO:0005777]; urate oxidase activity [GO:0004846]; purine nucleobase metabolic process [GO:0006144]; urate catabolic process [GO:0019628]	LOC100136464
A0A1S3T3Q5	A0A1S3T3Q5_SALSA	nuclear receptor subfamily 5 group A member 2 isoform X2	GO:0003700; GO:0003707; GO:0005634; GO:0008270; GO:0043565	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; steroid hormone receptor activity [GO:0003707]; zinc ion binding [GO:0008270]	LOC106613481
A0A1S3T3R0	A0A1S3T3R0_SALSA	nuclear receptor subfamily 5 group A member 2 isoform X1	GO:0003700; GO:0003707; GO:0005634; GO:0008270; GO:0043565	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; steroid hormone receptor activity [GO:0003707]; zinc ion binding [GO:0008270]	LOC106613481
A0A1S3T3R3	A0A1S3T3R3_SALSA	nuclear receptor subfamily 5 group A member 2 isoform X3	GO:0003700; GO:0003707; GO:0005634; GO:0008270; GO:0043565	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; steroid hormone receptor activity [GO:0003707]; zinc ion binding [GO:0008270]	LOC106613481
A0A1S3T6Y0	A0A1S3T6Y0_SALSA	uncharacterized protein LOC106613983 isoform X1			LOC106613983
A0A1S3T6Z4	A0A1S3T6Z4_SALSA	uncharacterized protein LOC106613983 isoform X2			LOC106613983
A0A1S3T4H3	A0A1S3T4H3_SALSA	antithrombin-III-like	GO:0004867; GO:0005615; GO:0008201; GO:2000266	extracellular space [GO:0005615]; heparin binding [GO:0008201]; serine-type endopeptidase inhibitor activity [GO:0004867]; regulation of blood coagulation, intrinsic pathway [GO:2000266]	LOC106613587
A0A1S3T4V7	A0A1S3T4V7_SALSA	transmembrane protein 44 isoform X1	GO:0016021	integral component of membrane [GO:0016021]	tmem44
A0A1S3T4X1	A0A1S3T4X1_SALSA	transmembrane protein 44 isoform X2	GO:0016021	integral component of membrane [GO:0016021]	tmem44
A0A1S3T558	A0A1S3T558_SALSA	interaptin-like			LOC106613718
A0A1S3T5G1	A0A1S3T5G1_SALSA	cyclic AMP-responsive element-binding protein 3-like protein 3-B	GO:0003700; GO:0030968; GO:0035497; GO:0045944	cAMP response element binding [GO:0035497]; DNA-binding transcription factor activity [GO:0003700]; endoplasmic reticulum unfolded protein response [GO:0030968]; positive regulation of transcription by RNA polymerase II [GO:0045944]	LOC106613765
A0A1S3T713	A0A1S3T713_SALSA	uncharacterized protein LOC106614011			LOC106614011
A0A1S3T721	A0A1S3T721_SALSA	uncharacterized protein LOC106614015			LOC106614015
A0A1S3T6N2	A0A1S3T6N2_SALSA	kininogen-1-like	GO:0004869	cysteine-type endopeptidase inhibitor activity [GO:0004869]	LOC106613935
B5X0U9	B5X0U9_SALSA	Dimethylaniline monooxygenase [N-oxide-forming] (EC 1.14.13.8)	GO:0004499; GO:0005789; GO:0050660; GO:0050661	endoplasmic reticulum membrane [GO:0005789]; flavin adenine dinucleotide binding [GO:0050660]; N,N-dimethylaniline monooxygenase activity [GO:0004499]; NADP binding [GO:0050661]	FMO5 fmo5
A0A1S3KI94	A0A1S3KI94_SALSA	ras-like protein family member 11B	GO:0003924; GO:0005525; GO:0007165; GO:0016020	membrane [GO:0016020]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; signal transduction [GO:0007165]	LOC106560267
A0A1S3KIU5	A0A1S3KIU5_SALSA	transcription initiation factor TFIID subunit 4-like isoform X2	GO:0003700; GO:0003743; GO:0005669; GO:0006352	transcription factor TFIID complex [GO:0005669]; DNA-binding transcription factor activity [GO:0003700]; translation initiation factor activity [GO:0003743]; DNA-templated transcription, initiation [GO:0006352]	LOC106560344
A0A1S3KIV6	A0A1S3KIV6_SALSA	transcription initiation factor TFIID subunit 4-like isoform X1	GO:0003700; GO:0003743; GO:0005669; GO:0006352; GO:0046982	transcription factor TFIID complex [GO:0005669]; DNA-binding transcription factor activity [GO:0003700]; protein heterodimerization activity [GO:0046982]; translation initiation factor activity [GO:0003743]; DNA-templated transcription, initiation [GO:0006352]	LOC106560344
A0A1S3KJ90	A0A1S3KJ90_SALSA	BTB/POZ domain-containing protein KCTD1-like isoform X2	GO:0051260	protein homooligomerization [GO:0051260]	LOC106560345
A0A1S3KJZ6	A0A1S3KJZ6_SALSA	uncharacterized protein LOC106560345 isoform X1	GO:0051260	protein homooligomerization [GO:0051260]	LOC106560345
A0A1S3KJ44	A0A1S3KJ44_SALSA	desmoglein-2-like isoform X3	GO:0005509; GO:0005886; GO:0007156; GO:0016021	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]	LOC106560387
A0A1S3KJH4	A0A1S3KJH4_SALSA	desmoglein-2-like isoform X2	GO:0005509; GO:0005886; GO:0007156; GO:0016021	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]	LOC106560387
A0A1S3KK81	A0A1S3KK81_SALSA	desmoglein-2-like isoform X1	GO:0005509; GO:0005886; GO:0007156; GO:0016021	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]	LOC106560387
A0A1S3KJ28	A0A1S3KJ28_SALSA	Transthyretin	GO:0005576; GO:0042572; GO:0070324; GO:0070327	extracellular region [GO:0005576]; thyroid hormone binding [GO:0070324]; retinol metabolic process [GO:0042572]; thyroid hormone transport [GO:0070327]	ttr
A0A1S3KJI0	A0A1S3KJI0_SALSA	Transthyretin	GO:0005576; GO:0042572; GO:0070324; GO:0070327	extracellular region [GO:0005576]; thyroid hormone binding [GO:0070324]; retinol metabolic process [GO:0042572]; thyroid hormone transport [GO:0070327]	ttr
A0A1S3KJG4	A0A1S3KJG4_SALSA	DNA helicase (EC 3.6.4.12)	GO:0003677; GO:0003678; GO:0005524; GO:0005634; GO:0006270; GO:0042555	MCM complex [GO:0042555]; nucleus [GO:0005634]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; DNA replication initiation [GO:0006270]	LOC106560381
A0A1S3KJ13	A0A1S3KJ13_SALSA	protein brambleberry-like isoform X1	GO:0016021	integral component of membrane [GO:0016021]	LOC106560378
A0A1S3KK66	A0A1S3KK66_SALSA	protein brambleberry-like isoform X2	GO:0016021	integral component of membrane [GO:0016021]	LOC106560378
A0A1S3KJC4	A0A1S3KJC4_SALSA	mucolipin-3-like isoform X1	GO:0005261; GO:0016021	integral component of membrane [GO:0016021]; cation channel activity [GO:0005261]	LOC106560446
A0A1S3KJR8	A0A1S3KJR8_SALSA	mucolipin-3-like isoform X2	GO:0005261; GO:0016021	integral component of membrane [GO:0016021]; cation channel activity [GO:0005261]	LOC106560446
A0A1S3KJY5	A0A1S3KJY5_SALSA	ficolin-1-like	GO:0001525; GO:0005615; GO:0043066	extracellular space [GO:0005615]; angiogenesis [GO:0001525]; negative regulation of apoptotic process [GO:0043066]	LOC106560485
A0A1S3KJY1	A0A1S3KJY1_SALSA	dedicator of cytokinesis protein 7-like isoform X1	GO:0005085; GO:0007264	guanyl-nucleotide exchange factor activity [GO:0005085]; small GTPase mediated signal transduction [GO:0007264]	LOC106560483
A0A1S3KKR6	A0A1S3KKR6_SALSA	dedicator of cytokinesis protein 7-like isoform X2	GO:0005085; GO:0007264	guanyl-nucleotide exchange factor activity [GO:0005085]; small GTPase mediated signal transduction [GO:0007264]	LOC106560483
A0A1S3KK78	A0A1S3KK78_SALSA	complement factor H-like			LOC106560550
A0A1S3KL16	A0A1S3KL16_SALSA	LOW QUALITY PROTEIN: complement factor H-related protein 5	GO:0004930; GO:0016020	membrane [GO:0016020]; G protein-coupled receptor activity [GO:0004930]	cfhr5
A0A1S3KK91	A0A1S3KK91_SALSA	complement factor H-like			LOC106560552
A0A1S3KK49	A0A1S3KK49_SALSA	complement factor H-like			LOC106560553
A0A1S3KL73	A0A1S3KL73_SALSA	Serotransferrin	GO:0005615; GO:0006811; GO:0046872; GO:0055072	extracellular space [GO:0005615]; metal ion binding [GO:0046872]; ion transport [GO:0006811]; iron ion homeostasis [GO:0055072]	mfi2
A0A1S3KKB4	A0A1S3KKB4_SALSA	fetuin-B-like	GO:0004869; GO:0005615	extracellular space [GO:0005615]; cysteine-type endopeptidase inhibitor activity [GO:0004869]	LOC106560587
A0A1S3KKE9	A0A1S3KKE9_SALSA	histidine-rich glycoprotein-like	GO:0004869	cysteine-type endopeptidase inhibitor activity [GO:0004869]	LOC106560588
A0A1S3KK24	A0A1S3KK24_SALSA	histidine-rich glycoprotein-like	GO:0004869	cysteine-type endopeptidase inhibitor activity [GO:0004869]	LOC106560589
A0A1S3KKB8	A0A1S3KKB8_SALSA	fetuin-B-like isoform X2	GO:0004869	cysteine-type endopeptidase inhibitor activity [GO:0004869]	LOC106560590
A0A1S3KKG9	A0A1S3KKG9_SALSA	fetuin-B-like isoform X1	GO:0004869	cysteine-type endopeptidase inhibitor activity [GO:0004869]	LOC106560590
A0A1S3KL83	A0A1S3KL83_SALSA	ceruloplasmin	GO:0004322; GO:0005507; GO:0005615; GO:0005623; GO:0006826; GO:0006879	cell [GO:0005623]; extracellular space [GO:0005615]; copper ion binding [GO:0005507]; ferroxidase activity [GO:0004322]; cellular iron ion homeostasis [GO:0006879]; iron ion transport [GO:0006826]	cp
A0A1S3KKH9	A0A1S3KKH9_SALSA	transmembrane 4 L6 family member 4-like	GO:0016021	integral component of membrane [GO:0016021]	LOC106560595
A0A1S3KKJ6	A0A1S3KKJ6_SALSA	Solute carrier organic anion transporter family member	GO:0005886; GO:0006811; GO:0016021; GO:0055085	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; ion transport [GO:0006811]; transmembrane transport [GO:0055085]	LOC106560616
A0A1S3KLC4	A0A1S3KLC4_SALSA	Solute carrier organic anion transporter family member	GO:0005886; GO:0006811; GO:0016021; GO:0055085	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; ion transport [GO:0006811]; transmembrane transport [GO:0055085]	LOC106560616
A0A1S3KLI4	A0A1S3KLI4_SALSA	bcl-2-related ovarian killer protein homolog A-like	GO:0042981	regulation of apoptotic process [GO:0042981]	LOC106560644
A0A1S3KKT1	A0A1S3KKT1_SALSA	allantoinase, mitochondrial-like	GO:0000256; GO:0004038; GO:0008270; GO:0050897	allantoinase activity [GO:0004038]; cobalt ion binding [GO:0050897]; zinc ion binding [GO:0008270]; allantoin catabolic process [GO:0000256]	LOC106560661
A0A1S3KLB8	A0A1S3KLB8_SALSA	cytoplasmic polyadenylation element-binding protein 1-A-like	GO:0003730; GO:0045182	mRNA 3'-UTR binding [GO:0003730]; translation regulator activity [GO:0045182]	LOC106560740
A0A1S3KPE9	A0A1S3KPE9_SALSA	very-long-chain 3-oxoacyl-CoA reductase	GO:0016021; GO:0016491	integral component of membrane [GO:0016021]; oxidoreductase activity [GO:0016491]	hsd17b12
A0A1S3KMJ1	A0A1S3KMJ1_SALSA	putative helicase Mov10l1 isoform X2 (putative helicase Mov10l1 isoform X3)	GO:0003723; GO:0032574; GO:0035194	5'-3' RNA helicase activity [GO:0032574]; RNA binding [GO:0003723]; posttranscriptional gene silencing by RNA [GO:0035194]	mov10l1
A0A1S3KMU8	A0A1S3KMU8_SALSA	putative helicase Mov10l1 isoform X4	GO:0003723; GO:0032574; GO:0035194	5'-3' RNA helicase activity [GO:0032574]; RNA binding [GO:0003723]; posttranscriptional gene silencing by RNA [GO:0035194]	mov10l1
A0A1S3KNM2	A0A1S3KNM2_SALSA	putative helicase Mov10l1 isoform X1	GO:0003723; GO:0032574; GO:0035194	5'-3' RNA helicase activity [GO:0032574]; RNA binding [GO:0003723]; posttranscriptional gene silencing by RNA [GO:0035194]	mov10l1
A0A1S3KMI2	A0A1S3KMI2_SALSA	uncharacterized protein LOC106560967 isoform X2			LOC106560967
A0A1S3KMU7	A0A1S3KMU7_SALSA	protein lin-54 homolog isoform X1			LOC106560967
A0A1S3KMM5	A0A1S3KMM5_SALSA	dynein regulatory complex subunit 7 isoform X1			drc7
A0A1S3KMN8	A0A1S3KMN8_SALSA	dynein regulatory complex subunit 7 isoform X2			drc7
A0A1S3KMB6	A0A1S3KMB6_SALSA	phosphatidylcholine-sterol acyltransferase-like	GO:0006629; GO:0008374	O-acyltransferase activity [GO:0008374]; lipid metabolic process [GO:0006629]	LOC106560930
A0A1S3KM69	A0A1S3KM69_SALSA	Carboxylic ester hydrolase (EC 3.1.1.-)	GO:0016787	hydrolase activity [GO:0016787]	LOC100380756
A0A1S3KN49	A0A1S3KN49_SALSA	Carboxylic ester hydrolase (EC 3.1.1.-)	GO:0016787	hydrolase activity [GO:0016787]	LOC100380756
A0A1S3KLU4	A0A1S3KLU4_SALSA	solute carrier family 12 member 3-like	GO:0015377; GO:0016021	integral component of membrane [GO:0016021]; cation:chloride symporter activity [GO:0015377]	LOC106560848
A0A1S3KM05	A0A1S3KM05_SALSA	uncharacterized oxidoreductase YKL071W-like			LOC106560829
A0A1S3KLL8	A0A1S3KLL8_SALSA	membrane-bound transcription factor site-1 protease-like isoform X2	GO:0004252; GO:0016021	integral component of membrane [GO:0016021]; serine-type endopeptidase activity [GO:0004252]	LOC106560820
A0A1S3KLY6	A0A1S3KLY6_SALSA	membrane-bound transcription factor site-1 protease-like isoform X3	GO:0004252	serine-type endopeptidase activity [GO:0004252]	LOC106560820
A0A1S3KLZ0	A0A1S3KLZ0_SALSA	membrane-bound transcription factor site-1 protease-like isoform X1	GO:0004252; GO:0016021	integral component of membrane [GO:0016021]; serine-type endopeptidase activity [GO:0004252]	LOC106560820
A0A1S3KLL2	A0A1S3KLL2_SALSA	putative sodium-coupled neutral amino acid transporter 8 isoform X2	GO:0016021	integral component of membrane [GO:0016021]	LOC106560818
A0A1S3KLY5	A0A1S3KLY5_SALSA	putative sodium-coupled neutral amino acid transporter 8 isoform X1	GO:0016021	integral component of membrane [GO:0016021]	LOC106560818
B5X1Q7	B5X1Q7_SALSA	Tetraspanin	GO:0016021	integral component of membrane [GO:0016021]	TSN3 LOC106561160
B5XCS8	B5XCS8_SALSA	RAS and EF-hand domain containing (RAS and EF-hand domain-containing protein)	GO:0005509	calcium ion binding [GO:0005509]	RASEF rasef
A0A1S3KQ01	A0A1S3KQ01_SALSA	proline-rich transmembrane protein 4-like	GO:0016021	integral component of membrane [GO:0016021]	LOC106561214
A0A1S3KP46	A0A1S3KP46_SALSA	zinc finger homeobox protein 3-like	GO:0003677; GO:0005634	nucleus [GO:0005634]; DNA binding [GO:0003677]	LOC106561217
A0A1S3KPA3	A0A1S3KPA3_SALSA	inositol oxygenase	GO:0005506; GO:0005737; GO:0019310; GO:0050113	cytoplasm [GO:0005737]; inositol oxygenase activity [GO:0050113]; iron ion binding [GO:0005506]; inositol catabolic process [GO:0019310]	miox
A0A1S3KP21	A0A1S3KP21_SALSA	Lipase maturation factor	GO:0005789; GO:0016021	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	lmf2
A0A1S3KPE7	A0A1S3KPE7_SALSA	Lipase maturation factor	GO:0005789; GO:0016021	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	lmf2
A0A1S3KPB9	A0A1S3KPB9_SALSA	zona pellucida sperm-binding protein 3	GO:0007339; GO:0035803; GO:0035804	structural constituent of egg coat [GO:0035804]; binding of sperm to zona pellucida [GO:0007339]; egg coat formation [GO:0035803]	LOC100380781
A0A1S3KQL8	A0A1S3KQL8_SALSA	ras association domain-containing protein 7-like	GO:0007165; GO:0070507	regulation of microtubule cytoskeleton organization [GO:0070507]; signal transduction [GO:0007165]	LOC106561317
A0A1S3KPN9	A0A1S3KPN9_SALSA	endophilin-A3-like isoform X2	GO:0005737	cytoplasm [GO:0005737]	LOC106561291
A0A1S3KQE1	A0A1S3KQE1_SALSA	endophilin-A3-like isoform X1	GO:0005737	cytoplasm [GO:0005737]	LOC106561291
A0A1S3KPK9	A0A1S3KPK9_SALSA	uncharacterized protein LOC106561275	GO:0016787	hydrolase activity [GO:0016787]	LOC106561275
A0A1S3KQ93	A0A1S3KQ93_SALSA	bile acid receptor-like isoform X1	GO:0003707; GO:0004879; GO:0005634; GO:0008270; GO:0043565	nucleus [GO:0005634]; nuclear receptor activity [GO:0004879]; sequence-specific DNA binding [GO:0043565]; steroid hormone receptor activity [GO:0003707]; zinc ion binding [GO:0008270]	LOC106561422
A0A1S3KQJ0	A0A1S3KQJ0_SALSA	bile acid receptor-like isoform X3	GO:0003707; GO:0004879; GO:0005634; GO:0008270; GO:0043565	nucleus [GO:0005634]; nuclear receptor activity [GO:0004879]; sequence-specific DNA binding [GO:0043565]; steroid hormone receptor activity [GO:0003707]; zinc ion binding [GO:0008270]	LOC106561422
A0A1S3KRB2	A0A1S3KRB2_SALSA	bile acid receptor-like isoform X2	GO:0003707; GO:0004879; GO:0005634; GO:0008270; GO:0043565	nucleus [GO:0005634]; nuclear receptor activity [GO:0004879]; sequence-specific DNA binding [GO:0043565]; steroid hormone receptor activity [GO:0003707]; zinc ion binding [GO:0008270]	LOC106561422
A0A1S3KQ38	A0A1S3KQ38_SALSA	Tubulin alpha chain	GO:0003924; GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0007017	cytoplasm [GO:0005737]; microtubule [GO:0005874]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; structural constituent of cytoskeleton [GO:0005200]; microtubule-based process [GO:0007017]	LOC106561410
